"num","name","round","level","event"
"4"," SANTOS Isabel",6,"preliminary"," men's 10m platform"
"5"," ROCHA CHAVEZ Sergio",6,"preliminary"," men's 10m platform"
"6"," SCHLEPPS Holger",6,"preliminary"," men's 10m platform"
"7"," BARTH Michael",6,"preliminary"," men's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",1,"preliminary","women's 10m platform"
"2"," ROCHA CHAVEZ Sergio",1,"preliminary","women's 10m platform"
"3"," AXTELIUS Peter",1,"preliminary","women's 10m platform"
"4"," RAO Lang",1,"preliminary","women's 10m platform"
"5"," FEOKTISTOV Eduard",1,"preliminary","women's 10m platform"
"6"," DAW Yehia Zakaria Yehia",1,"preliminary","women's 10m platform"
"7"," van der VOORT Ronald",1,"preliminary","women's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",2,"preliminary","women's 10m platform"
"2"," ROCHA CHAVEZ Sergio",2,"preliminary","women's 10m platform"
"3"," AXTELIUS Peter",2,"preliminary","women's 10m platform"
"4"," RAO Lang",2,"preliminary","women's 10m platform"
"5"," FEOKTISTOV Eduard",2,"preliminary","women's 10m platform"
"6"," DAW Yehia Zakaria Yehia",2,"preliminary","women's 10m platform"
"7"," van der VOORT Ronald",2,"preliminary","women's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",5,"preliminary","women's 10m platform"
"2"," ROCHA CHAVEZ Sergio",5,"preliminary","women's 10m platform"
"3"," AXTELIUS Peter",5,"preliminary","women's 10m platform"
"4"," RAO Lang",5,"preliminary","women's 10m platform"
"5"," FEOKTISTOV Eduard",5,"preliminary","women's 10m platform"
"6"," DAW Yehia Zakaria Yehia",5,"preliminary","women's 10m platform"
"7"," van der VOORT Ronald",5,"preliminary","women's 10m platform"
"1"," SCHLEPPS Holger",3,"preliminary","women's 10m platform"
"2"," PRANARTA Pranarta",3,"preliminary","women's 10m platform"
"3"," FRASER Lindsey Ann",3,"preliminary","women's 10m platform"
"4"," WRIGHT Lisa",3,"preliminary","women's 10m platform"
"5"," ZAMPIERI Marco",3,"preliminary","women's 10m platform"
"6"," KOH Tony",3,"preliminary","women's 10m platform"
"7"," PETERSON Gord",3,"preliminary","women's 10m platform"
"1"," SCHLEPPS Holger",4,"preliminary","women's 10m platform"
"2"," PRANARTA Pranarta",4,"preliminary","women's 10m platform"
"3"," FRASER Lindsey Ann",4,"preliminary","women's 10m platform"
"4"," WRIGHT Lisa",4,"preliminary","women's 10m platform"
"5"," ZAMPIERI Marco",4,"preliminary","women's 10m platform"
"6"," KOH Tony",4,"preliminary","women's 10m platform"
"7"," PETERSON Gord",4,"preliminary","women's 10m platform"
"1"," BARTH Michael",1,"semifinal"," men's 3m springboard"
"2"," SHEPHERD Kathleen",1,"semifinal"," men's 3m springboard"
"3"," RAO Lang",1,"semifinal"," men's 3m springboard"
"4"," WRIGHT Lisa",1,"semifinal"," men's 3m springboard"
"5"," FEOKTISTOV Eduard",1,"semifinal"," men's 3m springboard"
"6"," PETERSON Gord",1,"semifinal"," men's 3m springboard"
"7"," GOLOVAN Anatoliy",1,"semifinal"," men's 3m springboard"
"1"," BARTH Michael",2,"semifinal"," men's 3m springboard"
"2"," SHEPHERD Kathleen",2,"semifinal"," men's 3m springboard"
"3"," RAO Lang",2,"semifinal"," men's 3m springboard"
