"Rank","Name","NAT","Dive No.","DD","J1","J2","J3","J4","J5","J6","J7","Dive Points","Dive Rank","Total Points","Overall Rank","Points Behind","level","event"
"9","MORALES MENDOZA Sebastian","COL","207C","3.6","6.5","6.5","5.5","6.5","6.0","6.5","6.0","68.40","13","281.90","6","38.80","preliminary"," men's 3m springboard"
"9","MORALES MENDOZA Sebastian","COL","5156B","3.9","5.0","5.0","5.0","5.0","4.5","6.0","5.0","58.50","=26","340.40","11","71.50","preliminary"," men's 3m springboard"
"9","MORALES MENDOZA Sebastian","COL","407C","3.4","7.0","7.0","8.0","7.0","7.0","7.0","6.0","71.40","=9","411.80","9","75.70","preliminary"," men's 3m springboard"
"10","HERRERA Briadam","USA","205B","3.0","7.0","7.5","7.5","8.0","8.0","7.5","7.5","67.50","=11","67.50","=11","7.30","preliminary"," men's 3m springboard"
"10","HERRERA Briadam","USA","5154B","3.4","6.5","6.5","6.0","7.0","6.5","6.0","6.0","64.60","22","132.10","17","19.20","preliminary"," men's 3m springboard"
"10","HERRERA Briadam","USA","307C","3.5","4.0","4.5","4.5","4.0","4.0","4.0","5.0","43.75","46","175.85","32","62.95","preliminary"," men's 3m springboard"
"10","HERRERA Briadam","USA","407C","3.4","7.5","7.5","7.5","7.0","7.5","7.0","7.5","76.50","6","252.35","23","68.35","preliminary"," men's 3m springboard"
"10","HERRERA Briadam","USA","109C","3.8","7.5","7.5","7.0","7.5","8.0","7.0","7.5","85.50","3","337.85","12","74.05","preliminary"," men's 3m springboard"
"10","HERRERA Briadam","USA","5337D","3.5","7.5","7.0","7.5","7.0","6.5","7.0","7.0","73.50","8","411.35","10","76.15","preliminary"," men's 3m springboard"
"11","ISHAK Mohab","EGY","107B","3.1","7.0","6.5","6.5","7.0","7.5","7.0","7.0","65.10","=17","65.10","=17","9.70","preliminary"," men's 3m springboard"
"11","ISHAK Mohab","EGY","5154B","3.4","7.5","7.0","7.0","7.0","7.0","7.5","7.5","73.10","=4","138.20","9","13.10","preliminary"," men's 3m springboard"
"11","ISHAK Mohab","EGY","5353B","3.3","7.0","6.5","7.0","6.5","7.0","6.5","6.5","66.00","21","204.20","11","34.60","preliminary"," men's 3m springboard"
"11","ISHAK Mohab","EGY","307C","3.5","7.0","7.5","8.0","8.0","7.5","6.5","7.0","77.00","5","281.20","7","39.50","preliminary"," men's 3m springboard"
"11","ISHAK Mohab","EGY","205B","3.0","7.0","7.0","6.5","6.5","6.0","6.5","7.0","60.00","25","341.20","10","70.70","preliminary"," men's 3m springboard"
"11","ISHAK Mohab","EGY","407C","3.4","6.5","7.0","6.5","7.0","7.0","7.0","6.5","69.70","19","410.90","11","76.60","preliminary"," men's 3m springboard"
"12","GARCIA BOISSIER Nicolas","ESP","405B","3.0","7.0","7.5","7.0","7.5","7.0","7.5","7.0","64.50","=21","64.50","=21","10.30","preliminary"," men's 3m springboard"
"12","GARCIA BOISSIER Nicolas","ESP","205B","3.0","6.5","7.0","6.5","7.0","5.5","6.0","6.0","57.00","=35","121.50","=27","29.80","preliminary"," men's 3m springboard"
"12","GARCIA BOISSIER Nicolas","ESP","5337D","3.5","8.0","7.5","8.5","7.5","7.0","7.5","7.0","78.75","5","200.25","15","38.55","preliminary"," men's 3m springboard"
"12","GARCIA BOISSIER Nicolas","ESP","305B","3.0","6.0","6.0","6.5","5.5","7.0","6.5","6.5","57.00","=30","257.25","21","63.45","preliminary"," men's 3m springboard"
"12","GARCIA BOISSIER Nicolas","ESP","5154B","3.4","8.0","8.0","7.5","8.0","8.0","7.5","7.0","79.90","5","337.15","13","74.75","preliminary"," men's 3m springboard"
"12","GARCIA BOISSIER Nicolas","ESP","107B","3.1","8.0","7.5","8.0","7.0","7.5","8.0","7.5","71.30","15","408.45","12","79.05","preliminary"," men's 3m springboard"
"13","KNIGHT-WISDOM Yona","JAM","107B","3.1","7.5","7.5","8.0","8.0","9.0","8.5","8.0","74.40","=2","74.40","=2","0.40","preliminary"," men's 3m springboard"
"13","KNIGHT-WISDOM Yona","JAM","407C","3.4","5.0","5.5","4.0","4.0","5.0","4.5","4.5","47.60","=44","122.00","26","29.30","preliminary"," men's 3m springboard"
"13","KNIGHT-WISDOM Yona","JAM","5152B","3.0","8.5","7.5","7.0","7.5","8.0","8.0","8.0","70.50","=12","192.50","20","46.30","preliminary"," men's 3m springboard"
"13","KNIGHT-WISDOM Yona","JAM","205B","3.0","7.5","7.5","7.0","7.5","7.0","7.5","7.5","67.50","=14","260.00","16","60.70","preliminary"," men's 3m springboard"
