"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
"women's 3m springboard","final",2,"WRIGHT Lisa","LER Damien","POLAZZO Valerio","RUIZ PEDREGUERA Rolando","MATSUMOTO Yukio","FRASER Lindsey","BARBOSA Ana","BEKETOV Andrei"
"women's 3m springboard","final",3,"WRIGHT Lisa","LER Damien","POLAZZO Valerio","RUIZ PEDREGUERA Rolando","MATSUMOTO Yukio","FRASER Lindsey","BARBOSA Ana","BEKETOV Andrei"
"women's 3m springboard","final",4,"WRIGHT Lisa","LER Damien","POLAZZO Valerio","RUIZ PEDREGUERA Rolando","MATSUMOTO Yukio","FRASER Lindsey","BARBOSA Ana","BEKETOV Andrei"
"women's 3m springboard","final",5,"WRIGHT Lisa","LER Damien","POLAZZO Valerio","RUIZ PEDREGUERA Rolando","MATSUMOTO Yukio","FRASER Lindsey","BARBOSA Ana","BEKETOV Andrei"
" men's 10m platform","final",1,"POLAZZO Valerio","VYAS Mayur","AXTELIUS Peter","BARBOSA Ana","DAW Yehia","SCHLEPPS Holdger","LER Damien","WU Ying Tan"
" men's 10m platform","final",2,"POLAZZO Valerio","VYAS Mayur","AXTELIUS Peter","BARBOSA Ana","DAW Yehia","SCHLEPPS Holdger","LER Damien","WU Ying Tan"
" men's 10m platform","final",3,"POLAZZO Valerio","VYAS Mayur","AXTELIUS Peter","BARBOSA Ana","DAW Yehia","SCHLEPPS Holdger","LER Damien","WU Ying Tan"
" men's 10m platform","final",4,"POLAZZO Valerio","VYAS Mayur","AXTELIUS Peter","BARBOSA Ana","DAW Yehia","SCHLEPPS Holdger","LER Damien","WU Ying Tan"
" men's 10m platform","final",5,"POLAZZO Valerio","VYAS Mayur","AXTELIUS Peter","BARBOSA Ana","DAW Yehia","SCHLEPPS Holdger","LER Damien","WU Ying Tan"
" men's 10m platform","final",6,"POLAZZO Valerio","VYAS Mayur","AXTELIUS Peter","BARBOSA Ana","DAW Yehia","SCHLEPPS Holdger","LER Damien","WU Ying Tan"
"women's 10m platform","final",1,"AXTELIUS Peter","AHLERING Julie","NG DO ROSARIO Sio Wan","POLAZZO Valerio","VYAS Mayur","BROOKER Gillian","RUIZ PEDREGUERA Rolando","DAW Yehia"
"women's 10m platform","final",2,"AXTELIUS Peter","AHLERING Julie","NG DO ROSARIO Sio Wan","POLAZZO Valerio","VYAS Mayur","BROOKER Gillian","RUIZ PEDREGUERA Rolando","DAW Yehia"
"women's 10m platform","final",3,"AXTELIUS Peter","AHLERING Julie","NG DO ROSARIO Sio Wan","POLAZZO Valerio","VYAS Mayur","BROOKER Gillian","RUIZ PEDREGUERA Rolando","DAW Yehia"
"women's 10m platform","final",4,"AXTELIUS Peter","AHLERING Julie","NG DO ROSARIO Sio Wan","POLAZZO Valerio","VYAS Mayur","BROOKER Gillian","RUIZ PEDREGUERA Rolando","DAW Yehia"
"women's 10m platform","final",5,"AXTELIUS Peter","AHLERING Julie","NG DO ROSARIO Sio Wan","POLAZZO Valerio","VYAS Mayur","BROOKER Gillian","RUIZ PEDREGUERA Rolando","DAW Yehia"
