"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","year","competition"
" men's 10m platform","final",2,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","2016","World_Series_Windsor"
" men's 10m platform","final",3,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","2016","World_Series_Windsor"
" men's 10m platform","final",4,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","2016","World_Series_Windsor"
" men's 10m platform","final",5,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","2016","World_Series_Windsor"
" men's 10m platform","final",6,"BUSHDAUPHINAIS Barb","HUFFMAN Coleen","FABER Marc","MIN Suck Hong","BROOKER Gilian","AXTELIUS Peter","RUIZ PEDREGUERA Rolando","2016","World_Series_Windsor"
"women's 10m platform","final",1,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc","2016","World_Series_Windsor"
"women's 10m platform","final",2,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc","2016","World_Series_Windsor"
"women's 10m platform","final",3,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc","2016","World_Series_Windsor"
"women's 10m platform","final",4,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc","2016","World_Series_Windsor"
"women's 10m platform","final",5,"MIN Suck Hong","BARBOSA Ana Virginia","HUFFMAN Coleen","RUIZ PEDREGUERA Rolando","AXTELIUS Peter","BUSHDAUPHINAIS Barb","FABER Marc","2016","World_Series_Windsor"
" men's 3m springboard","semifinal a",1,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal a",2,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal a",3,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal a",4,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal a",5,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal a",6,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
"women's 3m springboard","semifinal a",1,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
"women's 3m springboard","semifinal a",2,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
"women's 3m springboard","semifinal a",3,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
"women's 3m springboard","semifinal a",4,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
"women's 3m springboard","semifinal a",5,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
" men's 10m platform","semifinal a",1,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal a",2,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal a",3,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal a",4,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal a",5,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal a",6,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
"women's 10m platform","semifinal a",1,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
"women's 10m platform","semifinal a",2,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
"women's 10m platform","semifinal a",3,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
"women's 10m platform","semifinal a",4,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
"women's 10m platform","semifinal a",5,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
" men's 3m springboard","semifinal b",1,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal b",2,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal b",3,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal b",4,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal b",5,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
" men's 3m springboard","semifinal b",6,"TELLEFSEN Arne","FRASER Lindsey","WU Xiuren","BROOKER Gilian","YEOH Ken Nee","BEKETOV Andrei","ROCHA CHAVEZ Sergio","2017","World_Series_Beijing"
"women's 3m springboard","semifinal b",1,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
"women's 3m springboard","semifinal b",2,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
"women's 3m springboard","semifinal b",3,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
"women's 3m springboard","semifinal b",4,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
"women's 3m springboard","semifinal b",5,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee","2017","World_Series_Beijing"
" men's 10m platform","semifinal b",1,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal b",2,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal b",3,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal b",4,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal b",5,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
" men's 10m platform","semifinal b",6,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey","2017","World_Series_Beijing"
"women's 10m platform","semifinal b",1,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
"women's 10m platform","semifinal b",2,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
"women's 10m platform","semifinal b",3,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
"women's 10m platform","semifinal b",4,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
"women's 10m platform","semifinal b",5,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon","2017","World_Series_Beijing"
" men's 3m springboard","final",1,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","2017","World_Series_Beijing"
" men's 3m springboard","final",2,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","2017","World_Series_Beijing"
" men's 3m springboard","final",3,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","2017","World_Series_Beijing"
" men's 3m springboard","final",4,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","2017","World_Series_Beijing"
" men's 3m springboard","final",5,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","2017","World_Series_Beijing"
" men's 3m springboard","final",6,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","2017","World_Series_Beijing"
"women's 3m springboard","final",1,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian","2017","World_Series_Beijing"
"women's 3m springboard","final",2,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian","2017","World_Series_Beijing"
"women's 3m springboard","final",3,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian","2017","World_Series_Beijing"
"women's 3m springboard","final",4,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian","2017","World_Series_Beijing"
"women's 3m springboard","final",5,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian","2017","World_Series_Beijing"
" men's 10m platform","final",1,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne","2017","World_Series_Beijing"
" men's 10m platform","final",2,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne","2017","World_Series_Beijing"
" men's 10m platform","final",3,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne","2017","World_Series_Beijing"
" men's 10m platform","final",4,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne","2017","World_Series_Beijing"
" men's 10m platform","final",5,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne","2017","World_Series_Beijing"
" men's 10m platform","final",6,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne","2017","World_Series_Beijing"
"women's 10m platform","final",1,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey","2017","World_Series_Beijing"
"women's 10m platform","final",2,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey","2017","World_Series_Beijing"
"women's 10m platform","final",3,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey","2017","World_Series_Beijing"
"women's 10m platform","final",4,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey","2017","World_Series_Beijing"
"women's 10m platform","final",5,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey","2017","World_Series_Beijing"
" men's 3m springboard","semifinal a",1,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal a",2,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal a",3,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal a",4,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal a",5,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal a",6,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal a",1,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal a",2,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal a",3,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal a",4,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal a",5,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal a",1,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal a",2,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal a",3,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal a",4,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal a",5,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal a",6,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal a",1,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal a",2,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal a",3,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal a",4,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal a",5,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal b",1,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal b",2,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal b",3,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal b",4,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal b",5,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
" men's 3m springboard","semifinal b",6,"PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","GENG Tao","MIN Suckhong","GOLOVAN Anatoly","TOULOUDIS Nikolaos","CALDERON Felix","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal b",1,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal b",2,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal b",3,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal b",4,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
"women's 3m springboard","semifinal b",5,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal b",1,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal b",2,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal b",3,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal b",4,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal b",5,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
" men's 10m platform","semifinal b",6,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal b",1,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal b",2,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal b",3,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal b",4,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
"women's 10m platform","semifinal b",5,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly","2017","World_Series_Guanzhou"
" men's 3m springboard","final",1,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao","2017","World_Series_Guanzhou"
" men's 3m springboard","final",2,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao","2017","World_Series_Guanzhou"
" men's 3m springboard","final",3,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao","2017","World_Series_Guanzhou"
" men's 3m springboard","final",4,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao","2017","World_Series_Guanzhou"
" men's 3m springboard","final",5,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao","2017","World_Series_Guanzhou"
" men's 3m springboard","final",6,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao","2017","World_Series_Guanzhou"
"women's 3m springboard","final",1,"MIN Suckhong","GENG Tao","CALDERON Felix","RIOS Cristina","ZAMPIERI Marco","LEE William","PEREZ CANASVERAS Angel Luis","2017","World_Series_Guanzhou"
