"divenum","event","round","year","competition","judge_id","rank","name","dcountry","divecode","DD","divepts","diverank","totalpts","overallrank","pointsbehind","judges_score","judge_name","jcountry","gender"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J2",1,"SHI Tingmao","CHN","107B",3.1,"58.9","4",301.9,"1",0,6,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J2",5,"WARE Pamela","CAN","305B",3,"52.5","6",251.25,"5",50.65,5.5,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J2",6,"TORRANCE Katherine","GBR","305B",3,"54","5",237.3,"6",64.6,6,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J2",3,"KEENEY Maddison","AUS","107B",3.1,"74.4","1",273.9,"3",28,8,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J2",4,"ABEL Jennifer","CAN","5152B",3,"67.5","3",260.25,"4",41.65,7.5,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J3",1,"SHI Tingmao","CHN","107B",3.1,"58.9","4",301.9,"1",0,6.5,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J3",6,"TORRANCE Katherine","GBR","305B",3,"54","5",237.3,"6",64.6,6,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J3",5,"WARE Pamela","CAN","305B",3,"52.5","6",251.25,"5",50.65,6,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J3",4,"ABEL Jennifer","CAN","5152B",3,"67.5","3",260.25,"4",41.65,7.5,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J3",3,"KEENEY Maddison","AUS","107B",3.1,"74.4","1",273.9,"3",28,7.5,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2017,"World_Series_Windsor","J3",2,"WANG Han","CHN","107B",3.1,"71.3","2",288.8,"2",13.1,7.5,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J1",6,"SABRI Nur Dhabitah Binti","MAS","305B",3,"40.5","6",236.1,"6",61.75,4,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J1",1,"SHI Tingmao","CHN","107B",3.1,"72.85","2",297.85,"1",0,8,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J1",4,"QIN Esther","AUS","305B",3,"69","3",258.75,"4",39.1,7.5,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J1",3,"ABEL Jennifer","CAN","5154B",3.4,"66.3","4",266.55,"3",31.3,6.5,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J1",5,"WARE Pamela","CAN","305B",3,"63","5",254.15,"5",43.7,7,"HASSAN Mohamed","EGY","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J1",2,"WANG Han","CHN","107B",3.1,"79.05","1",283.05,"2",14.8,8.5,"HASSAN Mohamed","EGY","Male"
